"","Black","White","Asian","Hispanic","Latino","Unkonwn","Other","subject_age"
"144",0,0,0,0,0,1,0,"47.0"
"145",0,1,0,0,0,0,0,"26.0"
"146",0,1,0,0,0,0,0,"U"
"147",0,1,0,0,0,0,0,"34.0"
"148",0,0,0,0,0,1,0,"U"
"149",0,1,0,0,0,0,0,"27.0"
"150",1,3,1,4,0,0,0,"U"
"151",0,0,0,0,0,1,0,"U"
"152",0,1,0,0,0,0,0,"U"
"153",0,1,0,0,0,0,0,"U"
"154",0,0,0,1,0,0,0,"U"
"155",1,0,0,0,0,0,0,"36.0"
"156",0,1,0,0,0,0,0,"U"
"157",0,1,0,0,0,0,0,"57.0"
"158",0,0,0,0,1,0,0,"22.0"
"159",0,1,0,0,0,0,0,"28.0"
"160",0,1,0,0,0,0,0,"18.0"
"161",0,1,0,0,2,0,0,"25.0"
"162",1,9,2,3,0,0,0,"U"
"163",0,1,0,0,0,0,0,"U"
"164",1,0,0,0,0,0,0,"U"
"165",0,0,0,0,0,1,0,"U"
"166",0,1,0,0,0,0,0,"30.0"
"167",0,0,0,0,0,1,0,"U"
"168",1,0,0,0,0,0,0,"54.0"
"169",0,0,0,0,0,1,0,"U"
"170",1,0,0,0,0,0,0,"18.0"
"171",0,0,0,0,0,1,0,"U"
"172",0,2,0,0,0,3,0,"57.0"
"173",0,1,0,0,0,0,0,"U"
"174",0,0,0,0,0,1,0,"U"
"175",0,0,0,0,0,1,0,"U"
"176",1,1,0,0,3,0,0,"U"
"177",1,0,0,0,0,0,0,"U"
"178",0,0,0,0,0,1,0,"20.0"
"179",0,0,0,0,0,1,0,"40.0"
"180",0,1,0,0,0,0,0,"18.0"
"181",0,1,0,0,0,0,0,"28.0"
"182",0,1,0,0,0,0,0,"U"
"183",0,1,0,0,0,0,0,"25.0"
"184",0,0,0,0,0,1,0,"U"
"185",0,1,0,0,0,0,0,"28.0"
"186",1,0,0,0,0,0,0,"U"
"187",1,0,0,0,0,0,0,"51.0"
"188",0,1,0,0,0,0,0,"30.0"
"189",0,1,0,0,0,0,0,"33.0"
"190",0,1,0,0,0,0,0,"U"
"191",1,0,0,0,0,0,0,"U"
"192",0,1,0,0,0,0,0,"10.0"
"193",0,0,0,0,0,1,0,"32.0"
"194",0,0,0,0,1,0,0,"30.0"
"195",1,0,0,0,0,0,0,"30-39"
"196",0,0,1,0,0,0,0,"10.0"
"197",1,0,0,0,0,0,0,"19.0"
"198",0,0,0,1,0,0,0,"15.0"
"199",0,0,0,1,0,0,0,"U"
"200",0,0,0,0,0,1,0,"U"
"201",0,0,0,0,0,1,0,"U"
"202",0,0,0,0,0,1,0,"17.0"
"203",0,0,0,0,0,1,0,"U"
"204",0,0,0,0,1,0,0,"U"
"205",0,0,0,0,1,0,0,"25.0"
"206",1,1,0,1,0,0,0,"57.0"
"207",3,1,0,0,0,0,0,"30-39"
"208",0,0,0,0,1,0,0,"U"
"209",0,1,0,0,0,0,0,"20.0"
"210",0,1,0,0,0,0,0,"32.0"
"211",1,0,0,0,0,0,0,"25.0"
"212",0,1,0,1,0,0,0,"26.0"
"213",0,0,0,0,1,0,0,"23.0"
"214",1,0,0,0,0,0,0,"U"
"215",0,0,0,0,0,1,0,"U"
"216",0,1,0,0,0,0,0,"U"
"217",0,1,0,0,0,0,0,"36.0"
"218",0,0,0,1,0,0,0,"U"
"219",0,1,0,0,0,0,0,"20.0"
"220",0,0,0,0,0,1,0,"U"
"221",0,0,0,0,0,1,0,"38.0"
"222",0,0,0,0,1,0,0,"U"
"223",0,0,0,0,0,1,0,"U"
"224",0,0,0,0,1,0,0,"U"
"225",0,0,0,0,0,1,0,"42.0"
"226",0,1,0,0,0,0,0,"19.0"
"227",0,0,0,0,0,1,0,"U"
"228",0,0,0,0,0,1,0,"U"
"229",0,0,1,0,0,0,0,"26.0"
"230",0,1,0,0,0,0,0,"U"
"231",0,0,0,0,2,0,0,"28.0"
"232",0,1,0,0,0,0,0,"U"
"233",0,1,0,0,0,0,0,"26.0"
"234",0,0,0,0,0,1,0,"27.0"
"235",0,0,0,1,0,0,0,"26.0"
"236",0,0,0,0,0,1,0,"20.0"
"237",0,0,0,1,0,0,0,"U"
"238",0,1,0,0,0,0,0,"49.0"
"239",0,1,0,0,0,0,0,"48.0"
"240",1,0,0,1,0,0,0,"U"
"241",0,0,0,0,0,1,0,"17.0"
"242",0,0,0,0,0,1,0,"34.0"
"243",1,0,0,0,0,0,0,"69.0"
"244",0,0,0,1,0,0,0,"U"
"245",0,0,0,0,1,0,0,"38.0"
"246",1,0,0,0,0,0,0,"U"
"247",0,0,0,0,0,1,0,"U"
"248",0,0,0,0,1,0,0,"30-39"
"249",0,1,0,0,0,0,0,"15.0"
"250",0,0,0,1,0,0,0,"20.0"
"251",0,1,0,0,0,0,0,"U"
"252",0,1,0,0,0,0,0,"27.0"
"253",0,1,0,0,0,0,0,"28.0"
"254",0,0,0,0,0,1,0,"U"
"255",0,0,0,0,0,1,0,"U"
"256",0,1,0,0,0,0,0,"34.0"
"257",0,0,0,0,0,1,0,"U"
"258",0,1,0,0,0,0,0,"33.0"
"259",0,0,1,0,0,0,0,"U"
"260",0,0,0,1,0,0,0,"U"
"261",0,1,0,1,0,0,0,"U"
"262",0,0,1,0,0,0,0,"U"
"263",1,0,0,0,0,0,0,"U"
"264",0,0,0,0,0,1,0,"U"
"265",0,0,0,0,0,1,0,"U"
"266",0,0,0,0,0,1,0,"U"
"267",0,0,0,0,0,1,0,"U"
"268",0,0,0,0,0,1,0,"U"
"269",0,0,0,0,0,1,0,"U"
"270",0,1,0,0,0,0,0,"15.0"
"271",0,0,0,0,1,0,0,"U"
"272",0,1,0,0,0,0,0,"U"
"273",0,0,0,0,0,1,0,"25.0"
"274",0,1,0,0,0,0,0,"U"
"275",0,1,0,0,0,0,0,"U"
"276",0,1,0,0,0,0,0,"U"
"277",0,1,0,0,0,0,0,"36.0"
"278",0,1,0,0,0,0,0,"23.0"
"279",0,1,0,0,0,0,0,"30.0"
"280",0,0,0,0,0,1,0,"U"
"281",0,1,0,0,0,0,0,"23.0"
"282",0,0,0,0,0,1,0,"U"
"283",0,0,0,0,1,0,0,"31.0"
"284",0,0,0,0,0,1,0,"44.0"
"285",0,0,0,0,0,1,0,"50.0"
"286",0,0,0,0,0,1,0,"U"
"287",0,0,0,0,0,1,0,"17.0"
"288",0,1,0,0,0,0,0,"21.0"
"289",0,1,0,0,0,0,0,"U"
"290",0,0,0,0,0,1,0,"U"
"291",0,0,0,0,0,1,0,"U"
"292",0,0,1,0,1,0,0,"U"
"293",0,0,0,0,0,1,0,"U"
"294",0,1,0,0,0,0,0,"30.0"
"295",1,0,0,0,0,0,0,"U"
"296",3,3,0,0,0,0,0,"U"
"297",0,0,0,0,0,1,0,"U"
"298",0,0,0,0,0,1,0,"35.0"
"299",0,0,0,0,0,1,0,"44.0"
"300",0,0,0,0,0,1,0,"U"
"301",0,0,0,0,0,1,0,"31.0"
"302",0,1,0,0,0,0,0,"20.0"
"303",0,0,0,0,1,0,0,"22.0"
"304",0,0,0,0,0,1,0,"U"
"305",0,0,0,0,0,1,0,"U"
"306",0,1,0,0,0,0,0,"50.0"
"307",0,0,0,0,0,1,0,"18.0"
"308",1,1,0,0,0,0,0,"U"
"309",0,1,0,0,0,0,0,"U"
"310",1,0,0,0,0,0,0,"30-39"
"311",0,1,0,0,0,0,0,"U"
"312",0,1,0,0,0,0,0,"16.0"
"313",0,1,0,0,0,0,0,"U"
"314",0,0,0,0,0,1,0,"45.0"
"315",0,1,0,0,0,0,0,"36.0"
"316",0,0,0,0,0,1,0,"U"
"317",0,1,0,1,0,0,0,"U"
"318",0,0,0,1,0,0,0,"22.0"
"319",0,1,0,1,0,0,0,"U"
"320",0,0,0,1,0,1,0,"21.0"
"321",0,1,0,0,0,0,0,"30.0"
"322",0,0,1,0,1,0,0,"U"
"323",0,0,0,0,0,1,0,"U"
"324",1,1,1,0,0,0,0,"35.0"
"325",0,1,0,0,0,0,0,"U"
"326",0,1,0,0,1,0,0,"25.0"
"327",0,1,0,0,0,0,0,"U"
"328",1,0,0,0,0,0,0,"U"
"329",0,0,0,0,1,0,0,"U"
"330",0,0,0,0,0,1,0,"U"
"331",0,0,1,0,0,0,0,"U"
"332",1,0,0,0,0,0,0,"U"
"333",0,0,0,0,0,1,0,"U"
"334",1,0,1,0,0,0,0,"U"
"335",1,0,0,0,0,0,0,"U"
"336",1,0,0,0,0,0,0,"33.0"
"337",0,0,0,0,0,1,0,"U"
"338",0,0,0,0,0,1,0,"U"
"339",0,0,0,0,0,1,0,"30.0"
"340",0,1,0,0,0,0,0,"35.0"
"341",0,0,0,0,0,1,0,"U"
"342",0,1,0,0,0,0,0,"73.0"
"343",0,0,0,0,0,1,0,"40.0"
"344",0,1,0,0,0,0,0,"45.0"
"345",0,0,0,0,0,1,0,"40.0"
"346",0,1,0,0,0,0,0,"62.0"
"347",0,1,1,0,0,0,0,"U"
"348",0,0,0,0,0,1,0,"U"
"349",0,1,0,0,0,0,0,"U"
"350",1,1,0,0,0,0,0,"U"
"351",0,1,0,0,0,0,0,"27.0"
"352",0,0,0,0,0,1,0,"U"
"353",0,1,0,0,0,0,0,"21.0"
"354",1,0,0,0,0,0,0,"24.0"
"355",1,4,0,4,0,1,0,"U"
"356",0,0,0,0,0,1,0,"U"
"357",0,0,0,1,0,0,0,"U"
"358",0,0,0,0,0,1,0,"U"
"359",0,1,0,0,0,0,0,"U"
"360",0,0,1,0,0,0,0,"10.0"
"361",0,1,0,1,0,0,0,"32.0"
"362",0,0,0,0,0,1,0,"32.0"
"363",0,0,0,0,0,1,0,"U"
"364",0,0,0,1,0,0,0,"U"
"365",0,1,0,0,0,0,0,"25.0"
"366",0,0,0,0,0,1,0,"U"
"367",0,0,0,0,0,1,0,"46.0"
"368",0,0,0,0,0,1,0,"19.0"
"369",0,1,0,0,0,0,0,"17.0"
"370",1,0,0,0,0,0,0,"25.0"
"371",0,1,0,0,0,0,0,"40.0"
"372",0,1,0,0,0,0,0,"U"
"373",0,1,0,0,0,0,0,"41.0"
"374",0,0,0,0,1,0,0,"U"
"375",0,1,0,0,0,0,0,"26.0"
"376",0,1,0,0,0,0,0,"U"
"377",0,1,0,0,0,0,0,"25.0"
"378",0,0,0,1,0,0,0,"U"
"379",0,0,0,0,0,0,1,"U"
"380",0,1,0,0,0,0,0,"28.0"
"381",0,0,0,0,0,1,0,"U"
"382",0,0,0,0,0,1,0,"U"
"383",0,0,0,0,0,1,0,"26.0"
"384",0,1,0,0,0,0,0,"U"
"385",0,0,1,0,0,0,0,"U"
"386",0,1,0,0,0,0,0,"U"
"387",0,0,0,0,0,1,0,"U"
"388",0,0,0,0,0,1,0,"45.0"
"389",0,1,0,0,0,0,0,"19.0"
"390",0,0,0,1,0,0,0,"22.0"
"391",0,0,0,0,0,1,0,"51.0"
"392",1,1,0,0,0,0,0,"U"
"393",0,1,0,0,0,0,0,"19.0"
"394",0,0,0,0,0,1,0,"U"
"395",0,0,0,0,0,1,0,"52.0"
"396",1,0,0,0,0,0,0,"U"
"397",0,0,0,0,0,1,0,"U"
"398",0,1,0,0,0,0,0,"10.0"
"399",0,1,0,0,0,0,0,"20.0"
"400",0,1,0,0,0,0,0,"26.0"
"401",0,0,0,0,0,1,0,"U"
"402",0,0,0,0,0,1,0,"U"
"403",0,1,0,0,0,0,0,"33.0"
"404",0,1,0,0,0,0,0,"55.0"
"405",0,0,0,1,0,0,0,"U"
"406",0,1,0,0,0,0,0,"29.0"
"407",0,0,0,0,0,1,0,"U"
"408",0,0,0,0,0,1,0,"36.0"
"409",1,0,0,0,0,0,0,"U"
"410",0,0,0,0,1,0,0,"U"
"411",0,1,0,0,0,0,0,"U"
"412",0,0,0,0,0,1,0,"U"
"413",0,0,0,0,0,1,0,"U"
"414",0,1,0,0,0,0,0,"40.0"
"415",0,0,0,0,1,0,0,"U"
"416",0,1,0,0,0,0,0,"U"
"417",0,0,0,0,0,1,0,"U"
"418",1,0,0,0,0,0,0,"35.0"
"419",1,1,0,0,0,0,0,"24.0"
"420",0,1,0,0,0,0,0,"51.0"
"421",1,0,0,0,0,0,0,"U"
"422",0,0,0,0,2,0,0,"U"
"423",0,1,0,0,0,0,0,"U"
"424",0,0,0,1,0,0,0,"U"
"425",0,0,0,0,0,1,0,"22.0"
"426",1,0,0,0,0,0,0,"U"
"427",0,0,0,0,0,1,0,"U"
"428",0,0,0,0,0,1,0,"U"
"429",0,0,0,0,0,1,0,"U"
"430",0,1,0,0,0,0,0,"17.0"
"431",0,0,0,0,0,1,0,"60.0"
"432",0,1,0,1,0,0,0,"23.0"
"433",0,0,0,0,0,1,0,"U"
"434",0,0,0,0,2,0,0,"U"
"435",0,0,0,0,0,1,0,"U"
"436",0,1,0,0,0,0,0,"U"
"437",0,0,0,0,0,1,0,"U"
"438",0,1,0,0,0,0,0,"62.0"
"439",0,0,0,0,0,1,0,"U"
"440",0,1,0,0,0,0,0,"33.0"
"441",0,0,0,0,1,0,0,"U"
"442",0,0,0,0,0,1,0,"U"
"443",0,1,0,0,0,0,0,"25.0"
"444",0,0,0,0,0,1,0,"U"
"445",0,1,0,0,0,0,0,"41.0"
"446",0,1,0,0,0,0,1,"18.0"
"447",0,0,0,0,0,1,0,"18.0"
"448",0,0,0,0,0,1,0,"28.0"
"449",0,0,0,0,0,1,0,"49.0"
"450",0,0,0,0,0,0,2,"U"
"451",0,0,1,0,0,0,0,"47.0"
"452",0,0,0,0,0,1,0,"U"
"453",0,0,0,0,0,1,0,"58.0"
"454",0,1,0,0,0,0,0,"21.0"
"455",1,0,0,0,0,0,0,"21.0"
"456",1,0,0,0,0,0,0,"U"
"457",0,0,0,0,0,1,0,"U"
"458",0,0,0,0,0,1,0,"U"
"459",0,1,0,0,0,0,0,"25.0"
"460",0,0,0,0,0,1,0,"U"
"461",0,1,0,3,0,0,0,"U"
"462",0,1,0,0,0,0,0,"U"
"463",0,2,0,0,1,0,0,"U"
"464",0,0,0,0,2,0,0,"U"
"465",0,2,0,3,0,0,0,"U"
"466",0,1,0,0,0,0,0,"36.0"
"467",0,0,0,0,0,1,0,"43.0"
"468",0,1,0,0,0,0,0,"31.0"
"469",0,0,0,0,0,1,0,"U"
"470",0,1,0,0,0,0,0,"U"
"471",0,1,0,0,0,0,0,"32.0"
"472",1,0,0,0,0,0,0,"19.0"
"473",0,0,0,0,0,1,0,"U"
"474",0,1,0,0,0,0,0,"40.0"
"475",0,0,0,0,1,0,0,"U"
"476",1,1,0,0,0,0,0,"U"
"477",0,0,0,0,0,0,1,"U"
"478",0,0,0,0,0,1,0,"U"
"479",0,1,0,0,0,0,0,"26.0"
"480",0,1,0,0,0,0,0,"U"
"481",1,0,0,0,0,0,0,"U"
"482",0,1,0,0,0,0,0,"32.0"
"483",0,1,0,0,0,0,0,"32.0"
"484",0,0,0,1,0,0,0,"U"
"485",1,0,0,0,0,0,0,"30.0"
"486",0,1,0,0,0,0,0,"24.0"
"487",0,1,0,0,0,0,0,"U"
"488",0,1,0,0,0,0,0,"28.0"
"489",0,1,0,0,0,0,0,"34.0"
"490",0,0,0,0,0,1,0,"U"
"491",0,0,0,1,0,0,0,"45.0"
"492",0,0,0,0,0,1,0,"35.0"
"493",0,0,0,0,0,1,0,"U"
"494",0,1,0,0,0,0,0,"U"
"495",0,0,0,0,0,1,0,"U"
"496",0,4,0,1,0,0,0,"U"
"497",1,0,0,0,0,0,0,"24.0"
"498",1,0,0,0,0,0,0,"U"
"499",0,0,0,0,0,1,0,"U"
"500",0,0,0,0,0,1,0,"22.0"
"501",0,0,0,0,0,1,0,"U"
"502",0,1,0,0,0,0,0,"U"
"503",0,1,0,0,0,0,0,"U"
"504",0,0,0,0,0,1,0,"U"
"505",1,0,0,0,0,0,0,"43.0"
"506",0,0,0,1,0,0,0,"44.0"
"507",0,0,0,0,0,1,0,"U"
"508",1,1,0,0,0,0,0,"U"
"509",0,0,0,0,0,1,0,"26.0"
"510",0,0,0,0,0,1,0,"U"
"511",0,2,1,0,0,5,0,"42.0"
"512",0,0,0,0,0,1,0,"U"
"513",0,1,0,0,0,0,0,"47.0"
"514",0,1,0,0,0,0,0,"U"
"515",0,1,0,0,0,0,0,"25.0"
"516",0,1,0,0,0,0,0,"U"
"517",0,1,0,0,1,0,0,"U"
"518",0,1,0,0,0,0,0,"45.0"
"519",0,1,0,0,0,0,0,"U"
"520",0,1,0,0,0,0,0,"41.0"
"521",0,0,0,0,0,1,0,"U"
"522",0,0,0,1,0,0,0,"34.0"
"523",0,0,0,0,0,1,0,"U"
"524",0,0,0,0,0,1,0,"38.0"
